bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,sr_pairs,ground_truth_sr_pairs
30,572933159,10,4,100,7,7
30,632790883,10,4,100,15,17
30,542661227,10,4,100,11,13
30,894316679,10,4,100,1,1
30,635865509,10,4,100,1,2
30,777443903,10,4,100,14,15
30,716085113,10,4,100,18,19
30,746540411,10,4,100,1,1
30,540118967,10,4,100,5,6
30,890114681,10,4,100,13,16
30,547781603,10,4,100,7,7
30,844537591,10,4,100,2,3
30,682109447,10,4,100,4,4
30,820206287,10,4,100,3,3
30,908130077,10,4,100,5,6
30,654495239,10,4,100,1,3
30,587864903,10,4,100,15,17
30,890201567,10,4,100,0,0
30,1034430409,10,4,100,7,15
30,592067659,10,4,100,1,1
30,833116157,10,4,100,1,1
30,621918721,10,4,100,6,6
30,756127159,10,4,100,4,5
30,596660957,10,4,100,9,10
30,920233871,10,4,100,1,2
30,581298947,10,4,100,1,2
30,677410847,10,4,100,1,1
30,847308281,10,4,100,2,3
30,569712713,10,4,100,5,7
30,620642791,10,4,100,19,21
30,751664993,10,4,100,2,2
30,632278099,10,4,100,3,4
30,854042633,10,4,100,0,0
30,595940341,10,4,100,4,4
30,872213467,10,4,100,8,10
30,801140603,10,4,100,1,1
30,615725137,10,4,100,0,0
30,616919309,10,4,100,2,5
30,874423157,10,4,100,8,9
30,580349897,10,4,100,4,4
30,649095089,10,4,100,10,10
30,995209361,10,4,100,7,7
30,713400433,10,4,100,6,6
30,683606929,10,4,100,5,6
30,880474559,10,4,100,6,6
30,652539409,10,4,100,7,8
30,652847749,10,4,100,6,7
30,637934839,10,4,100,4,11
30,725879983,10,4,100,1,1
30,560429761,10,4,100,4,5
30,554350081,10,4,100,2,2
30,846937187,10,4,100,4,4
30,616398833,10,4,100,6,6
30,956857193,10,4,100,0,0
30,644413433,10,4,100,3,6
30,910241039,10,4,100,12,19
30,641536141,10,4,100,5,5
30,787201021,10,4,100,4,4
30,582729307,10,4,100,15,19
30,829496191,10,4,100,1,2
30,924249211,10,4,100,5,5
30,616503619,10,4,100,2,2
30,583868293,10,4,100,4,4
30,604873307,10,4,100,9,10
30,705991859,10,4,100,5,5
30,672421861,10,4,100,13,14
30,797159081,10,4,100,13,13
30,665339243,10,4,100,2,2
30,618429829,10,4,100,3,3
30,634225861,10,4,100,3,3
30,671871997,10,4,100,4,4
30,682603723,10,4,100,1,1
30,952104971,10,4,100,4,5
30,733538711,10,4,100,4,6
30,566841571,10,4,100,10,10
30,699328787,10,4,100,4,4
30,694426423,10,4,100,4,6
30,557879851,10,4,100,7,8
30,544532803,10,4,100,7,9
30,546679241,10,4,100,5,7
30,914457671,10,4,100,5,5
30,774314857,10,4,100,6,7
30,670310983,10,4,100,11,11
30,989332507,10,4,100,10,11
30,546383569,10,4,100,2,2
30,843400669,10,4,100,8,10
30,697130221,10,4,100,7,7
30,829932139,10,4,100,3,4
30,843569171,10,4,100,4,7
30,725052439,10,4,100,0,0
30,686439967,10,4,100,0,0
30,759033263,10,4,100,4,5
30,749623999,10,4,100,4,5
30,654682451,10,4,100,5,5
30,758884901,10,4,100,1,1
30,589143767,10,4,100,12,14
30,700597903,10,4,100,5,7
30,842160391,10,4,100,8,11
30,860217983,10,4,100,2,3
30,688038509,10,4,100,3,3
30,635248189,10,4,100,5,5
30,838673653,10,4,100,3,3
30,745542011,10,4,100,14,14
30,684151591,10,4,100,2,4
30,620384173,10,4,100,2,2
30,689991623,10,4,100,5,6
30,603250573,10,4,100,2,2
30,604692607,10,4,100,2,2
30,568634503,10,4,100,4,5
30,1016008901,10,4,100,3,3
30,779327111,10,4,100,9,11
30,715231409,10,4,100,8,8
30,659574647,10,4,100,3,3
30,542686841,10,4,100,5,8
30,543027517,10,4,100,8,11
30,692807881,10,4,100,10,10
30,614632391,10,4,100,10,10
30,718476173,10,4,100,3,4
30,682866089,10,4,100,0,0
30,761058563,10,4,100,3,3
30,552374167,10,4,100,2,6
30,668016043,10,4,100,11,13
30,893960689,10,4,100,5,7
30,559160851,10,4,100,9,10
30,623645837,10,4,100,5,5
30,555507221,10,4,100,5,5
30,866103527,10,4,100,6,7
30,664174723,10,4,100,7,7
30,742409761,10,4,100,10,10
30,581226959,10,4,100,27,29
30,545185831,10,4,100,2,3
30,631153283,10,4,100,2,3
30,704241409,10,4,100,6,6
30,788726629,10,4,100,1,1
30,592043681,10,4,100,5,6
30,744550067,10,4,100,6,7
30,620285591,10,4,100,2,6
30,554326987,10,4,100,6,7
30,592380167,10,4,100,9,12
30,562169683,10,4,100,9,13
30,830244689,10,4,100,5,6
30,551510711,10,4,100,4,4
30,582647321,10,4,100,7,8
30,565022611,10,4,100,5,5
30,699488333,10,4,100,7,7
30,684858659,10,4,100,2,3
30,974152643,10,4,100,3,5
30,558132343,10,4,100,0,0
30,794251873,10,4,100,1,1
30,650873933,10,4,100,9,14
30,570925367,10,4,100,12,12
30,638002031,10,4,100,0,0
30,642013901,10,4,100,5,5
30,539964331,10,4,100,4,5
30,862468457,10,4,100,6,6
30,710503753,10,4,100,2,2
30,804441713,10,4,100,4,4
30,668350201,10,4,100,10,10
30,843395611,10,4,100,4,4
30,560858861,10,4,100,4,4
30,659420621,10,4,100,5,6
30,634770683,10,4,100,10,10
30,547475813,10,4,100,10,11
30,608882203,10,4,100,3,6
30,578148761,10,4,100,3,3
30,734911043,10,4,100,6,6
30,539573773,10,4,100,4,4
30,652814653,10,4,100,1,1
30,873584749,10,4,100,9,11
30,603748913,10,4,100,3,5
30,807035813,10,4,100,9,10
30,801809741,10,4,100,3,3
30,696708443,10,4,100,5,5
30,661072547,10,4,100,9,9
30,550182263,10,4,100,2,2
30,810040481,10,4,100,16,19
30,585850571,10,4,100,4,4
30,731998301,10,4,100,11,11
30,959409821,10,4,100,7,8
30,770573143,10,4,100,1,2
30,573946423,10,4,100,3,3
30,935924659,10,4,100,3,4
30,873307147,10,4,100,7,7
30,675276029,10,4,100,6,6
30,549592363,10,4,100,2,2
30,566122937,10,4,100,0,0
30,874029671,10,4,100,7,8
30,614158459,10,4,100,6,8
30,583896349,10,4,100,1,1
30,582192631,10,4,100,1,1
30,860737729,10,4,100,4,4
30,765618209,10,4,100,3,4
30,1015694063,10,4,100,8,8
30,703449391,10,4,100,2,3
30,636157037,10,4,100,5,8
30,707191591,10,4,100,5,5
30,895851487,10,4,100,12,13
30,661956509,10,4,100,0,1
30,573986753,10,4,100,4,6
30,652761467,10,4,100,4,5
30,795880159,10,4,100,6,6
30,619292647,10,4,100,0,0
30,588501769,10,4,100,1,1
