lattice_id,u,s,smoothness_value,smoothness_index,cost
405,1298151038866528,-435297374289,421,81,551
405,2955986794992,624172687,277,58,246
405,591026138720,-46385741,449,86,406
405,70343159741536,5529330677,499,94,449
407,1815279385491,-32492975,179,40,182
407,908455413580,799474347,499,94,238
407,908207314696,551375463,479,91,333
408,375698724404575,73605947392,311,63,269
408,35797220476325,23399670879,271,57,143
412,11790852391956,-8706077665,541,99,235
421,685202693175,271560316,491,93,134
423,9711561397302800,2808846116793,479,91,253
425,6500013762690,-2406985331,383,75,263
429,8648636962565600,7697903705067,281,59,482
429,2453724364616239,-92000983101,491,93,201
435,17801685966796875,7841503393561,479,91,347
439,16152959017195,10203325434,509,96,322
440,22877756861183,-4247639535,359,71,130
440,274486677147865,-97376860751,509,96,201
450,988780613670,33574849,373,73,299
450,988556398375,-190640446,197,44,309
452,116634839891141,-56055025189,433,83,260
453,23538984304231,-5832406496,439,84,164
453,190098595672271,-71077760524,521,97,167
456,565952867480,217005561,401,78,91
457,564234779108,14151507,79,21,145
457,564198190875,-22436726,281,59,315
457,11850598705517,1965525896,509,96,241
459,647069047274,226567215,389,76,77
461,19635569695742,-3786353433,521,97,282
461,3930118806978,2247597143,227,48,251
471,21854003376205,3518783353,277,58,190
473,637947335025,-218754476,163,37,181
473,1276792196625,460017623,193,43,272
474,312953406075583,-319747392,127,30,144
476,722256980016,238915487,457,87,101
476,11546253287569,-6035744895,167,38,227
478,7154039982375,-574401472,479,91,404
478,876882441771794315,642508953284531,419,80,373
480,693954855180244,-167756505485,241,52,184
483,624919203125,375107902,383,75,134
483,10622665428375,5415809584,227,48,177
483,624540243375,-3851848,37,11,387
483,10605223632663,-12025986128,163,37,553
485,665513014212,351716179,281,59,155
485,581973919384923,-42216393952,353,70,402
493,89091741563825,-6594695631,151,35,355
494,2486361481780,2756486431,443,85,203
500,21055501269264,-27262163825,359,71,405
501,73517434216422077,-40462324793152,751,132,353
503,74670154863889,-2910030464,673,121,267
503,74692773767612,19708873259,281,59,319
506,168108251953125,260581839917,409,79,408
508,484964525723418549,168412552888181,823,142,469
509,229108267718750,138345123881,263,55,157
511,24096223479042,1287558685,617,112,118
511,11599139435888601,9475258196884,673,121,354
511,24108045061140,13109140783,167,38,295
514,336946263943250,425092530769,787,137,432
514,30598554776790,5721012019,179,40,225
514,214288815762450,138979409053,569,103,240
514,73569900609920000,116506740704829,569,103,729
517,540154062550245,-383869316863,659,119,244
517,540154062550245,-383869316863,659,119,244
517,19306794449605,1868311494,631,114,122
517,19306794449605,1868311494,631,114,122
518,592545454818294701,-413251197479397,653,118,245
519,57327800122285,-47511427057,823,142,200
519,28664454940800,-23200833871,521,97,562
519,28695276935360,7621160689,593,107,401
521,3623474362467035219,-33596190034848,419,80,409
521,545110057263135,-24282838726,587,106,168
521,23693543738371,-7949309536,617,112,179
523,518975825645880967,426438861716187,397,77,331
523,19482686764317,2995299848,809,139,180
527,160428434841590100,12633767489567,479,91,286
528,4048428550858263,204532645175,701,125,227
528,668455790230683,-224069920586,659,119,302
528,235106661303360,165088817779,283,60,262
528,198874287202500,77572022393,757,133,323
534,2245409902917818,1224841256193,733,129,409
536,184011781329192575,-109454153283773,613,111,295
537,13838460699927985,14667435330024,499,94,240
538,39177340658599,20588723393,593,107,99
538,78329169286137,15665415725,257,54,324
538,1724165786468853,1268701319789,641,115,480
539,176077058300000,-2174209723,761,134,350
539,879991692061559,-404470487056,823,142,503
539,19577485033925,13125866178,613,111,474
542,238494718462567,11953360908,443,85,78
