lattice_id,u,s,smoothness_value,smoothness_index,cost
128,1066724789,-26883,103,26,291
128,66608916231,-63063269,293,61,354
129,22959432496,-8969375,127,30,301
129,132477576,18511,173,39,175
130,3231248735,2307089,257,54,154
130,230630075,-8614,73,20,94
131,53202877,-26329,233,50,108
131,505815310,137853,53,15,135
131,9132950970,4142141,293,61,229
131,26614588,-15,5,2,105
131,26606853,-7750,31,10,204
131,292955832,195199,127,30,250
131,691339187,-640491,97,24,182
131,7688287395,-3332872,151,35,200
131,611539929,-595940,359,71,296
131,26609310,-5293,79,21,227
131,26609352,-5251,89,23,242
132,18287500,11271,17,6,84
132,18290844,14615,79,21,121
132,30447140625,-1056889,199,45,259
134,21843198,415,83,22,50
134,371178756,-148555,73,20,177
134,152954406,54925,13,5,293
135,28674800,12139,199,45,86
135,401529375,252121,71,19,157
135,630859375,280833,311,63,121
135,84408410625,25536641,379,74,291
135,1240701721875,640356371,313,64,427
135,22483828125,12301901,349,69,391
135,716583252,16727,389,76,163
135,802811655,257147,241,52,341
135,57330375,5053,163,37,98
135,4614535250,-153171,61,17,273
135,458613811,11235,107,27,345
135,372638640,24047,173,39,112
135,372574125,-40468,151,35,215
135,401269275,-7979,101,25,335
135,4404427734375,8594471,127,30,470
135,28647703,-14958,277,58,216
135,1490131107,-327265,61,17,256
135,28676025,13364,257,54,321
135,2982065625,1148881,409,79,673
135,12528150000,2567143,263,55,218
135,113267372625,-7463647,419,80,736
136,1423959355,141231,263,55,195
137,20230333795,16262307,181,41,366
137,3111983875,2126723,251,53,323
137,7030639616,9165265,251,53,211
138,19724250,13199,197,44,67
138,1479526048,1197223,167,38,244
138,256217500,-26163,19,7,130
138,98563212,7957,109,28,154
138,256115013,-128650,83,22,196
138,800731946553,-29500322,127,30,247
139,606406983,53785,347,68,159
139,14863146597,7493246,317,65,150
139,36726553500,42185021,151,35,407
139,112658482672150,91133699643,181,41,227
140,73991225,-22294,157,36,143
140,4170768525,1340288,283,60,279
140,704634997500,1625447,223,47,289
140,54197687250,-4879831,103,26,321
141,456579585,205076,307,62,134
141,91273273091,-1628709,211,46,345
141,70334663074221,145324021,271,57,481
141,528899189,465547,83,22,192
141,24034010,14299,181,41,263
141,5193062875,4805299,241,52,451
142,24544884,15655,101,25,95
143,4266899156,3726081,293,61,171
143,21328669336,12803961,61,17,234
143,3047572944,2449319,263,55,418
144,321574924,30935,269,56,181
145,520596219,-560441,59,16,303
146,828580918,972013,239,51,233
146,410287128201,252894046,251,53,264
147,3138428376721,-5386051404,293,61,444
148,55831471215,5188912,211,46,122
148,6567801877,3959,107,27,170
148,4370712214050,-157300379,311,63,382
148,25115850473,3681963,83,22,106
148,965589443,-263192,197,44,107
148,298414116,-122153,113,29,271
148,193163880,-6647,23,8,278
148,3669912740,-327273,59,16,153
149,24708684,-28085,137,32,215
